"id","geom","longitud","latitud","concello_id","ubicacion","km"
246,POINT (-8.650840764845562 42.478720958408175),-8.650840764845562,42.478720958408175,Pontevedra,71954,61.25
247,POINT (-8.650111862189517 42.476409221996526),-8.650111862189517,42.476409221996526,Pontevedra,71954,61.5
248,POINT (-8.649545325660823 42.47403978103829),-8.649545325660823,42.47403978103829,Pontevedra,71954,61.75
249,POINT (-8.648803947793372 42.47177663123396),-8.648803947793372,42.47177663123396,Pontevedra,71954,62.0
250,POINT (-8.648395861876786 42.46952618225399),-8.648395861876786,42.46952618225399,Pontevedra,71954,62.25
251,POINT (-8.648465223145275 42.467228840729),-8.648465223145275,42.467228840729,Pontevedra,71954,62.5
252,POINT (-8.647234591111909 42.46518326564554),-8.647234591111909,42.46518326564554,Pontevedra,71954,62.75
253,POINT (-8.64521925784714 42.46410563132398),-8.64521925784714,42.46410563132398,Pontevedra,71954,63.0
254,POINT (-8.644310307038076 42.46225862861044),-8.644310307038076,42.46225862861044,Pontevedra,71954,63.25
255,POINT (-8.644717240129209 42.460123296215684),-8.644717240129209,42.460123296215684,Pontevedra,71954,63.5
256,POINT (-8.644209499734224 42.45774137502648),-8.644209499734224,42.45774137502648,Pontevedra,71954,63.75
257,POINT (-8.643715400054774 42.45555103014205),-8.643715400054774,42.45555103014205,Pontevedra,71954,64.0
258,POINT (-8.642335643348478 42.453501238355635),-8.642335643348478,42.453501238355635,Pontevedra,71954,64.25
259,POINT (-8.641514795538951 42.45125095992215),-8.641514795538951,42.45125095992215,Pontevedra,71954,64.5
260,POINT (-8.642212589950477 42.44890493059102),-8.642212589950477,42.44890493059102,Pontevedra,71954,64.75
261,POINT (-8.642789666796272 42.44663030640594),-8.642789666796272,42.44663030640594,Pontevedra,71954,65.0
262,POINT (-8.64344829009294 42.4443395699891),-8.64344829009294,42.4443395699891,Pontevedra,71954,65.25
263,POINT (-8.643014674655127 42.44202799464777),-8.643014674655127,42.44202799464777,Pontevedra,71954,65.5
264,POINT (-8.642662814053029 42.4396640889465),-8.642662814053029,42.4396640889465,Pontevedra,71954,65.75
265,POINT (-8.643336881491107 42.437313060926925),-8.643336881491107,42.437313060926925,Pontevedra,71954,66.0
266,POINT (-8.644087716698696 42.43552431781238),-8.644087716698696,42.43552431781238,Pontevedra,71954,66.25
267,POINT (-8.645061009616214 42.43385066321584),-8.645061009616214,42.43385066321584,Pontevedra,71954,66.5
268,POINT (-8.63946331201424 42.427159172018335),-8.63946331201424,42.427159172018335,Pontevedra,71954,66.75
269,POINT (-8.637681556685385 42.42553551134955),-8.637681556685385,42.42553551134955,Pontevedra,71954,67.0
270,POINT (-8.636957958417776 42.42326657450626),-8.636957958417776,42.42326657450626,Pontevedra,71954,67.25
271,POINT (-8.636415730991072 42.42125835522592),-8.636415730991072,42.42125835522592,Pontevedra,71954,67.5
272,POINT (-8.636182420476905 42.41884267456691),-8.636182420476905,42.41884267456691,Pontevedra,71954,67.75
273,POINT (-8.634051142220262 42.41812013524645),-8.634051142220262,42.41812013524645,Pontevedra,71954,68.0
274,POINT (-8.63352085990099 42.41668511515536),-8.63352085990099,42.41668511515536,Pontevedra,71954,68.25
275,POINT (-8.633138887898077 42.41446844112403),-8.633138887898077,42.41446844112403,Pontevedra,71954,68.5
276,POINT (-8.633063805652037 42.41203280926312),-8.633063805652037,42.41203280926312,Pontevedra,71954,68.75
277,POINT (-8.633209353086631 42.40958339470858),-8.633209353086631,42.40958339470858,Pontevedra,71954,69.0
278,POINT (-8.63316098914319 42.40715229596444),-8.63316098914319,42.40715229596444,Pontevedra,71954,69.25
279,POINT (-8.6324356552748 42.40481689212435),-8.6324356552748,42.40481689212435,Pontevedra,71954,69.5
280,POINT (-8.632159347853536 42.40237071385031),-8.632159347853536,42.40237071385031,Pontevedra,71954,69.75
281,POINT (-8.630691334608265 42.400539866437),-8.630691334608265,42.400539866437,Pontevedra,71954,70.0
282,POINT (-8.629754313042792 42.39830181213311),-8.629754313042792,42.39830181213311,Pontevedra,71954,70.25
283,POINT (-8.629096168972422 42.39624516568961),-8.629096168972422,42.39624516568961,Pontevedra,71954,70.5
284,POINT (-8.629508470870844 42.39401687571316),-8.629508470870844,42.39401687571316,Vilaboa,71954,70.75
285,POINT (-8.62974695086501 42.391632487093105),-8.62974695086501,42.391632487093105,Vilaboa,71954,71.0
286,POINT (-8.629958768876154 42.38921971381421),-8.629958768876154,42.38921971381421,Vilaboa,71954,71.25
287,POINT (-8.629946873490601 42.38697164150455),-8.629946873490601,42.38697164150455,Vilaboa,71954,71.5
288,POINT (-8.630613871996857 42.38467008932621),-8.630613871996857,42.38467008932621,Vilaboa,71954,71.75
289,POINT (-8.629627358297656 42.382689082975325),-8.629627358297656,42.382689082975325,Vilaboa,71954,72.0
290,POINT (-8.629401583238426 42.38028881802045),-8.629401583238426,42.38028881802045,Vilaboa,71954,72.25
291,POINT (-8.627661599464556 42.37881764716095),-8.627661599464556,42.37881764716095,Vilaboa,71954,72.5
292,POINT (-8.627022994842385 42.3766272298897),-8.627022994842385,42.3766272298897,Vilaboa,71954,72.75
293,POINT (-8.625623943672746 42.3746669032049),-8.625623943672746,42.3746669032049,Vilaboa,71954,73.0
294,POINT (-8.624933358368553 42.37251715091481),-8.624933358368553,42.37251715091481,Vilaboa,71954,73.25
295,POINT (-8.625902505159305 42.37054701176518),-8.625902505159305,42.37054701176518,Vilaboa,71954,73.5
296,POINT (-8.624167870941374 42.36896613175498),-8.624167870941374,42.36896613175498,Vilaboa,71954,73.75
297,POINT (-8.62184895347244 42.368180043523175),-8.62184895347244,42.368180043523175,Vilaboa,71954,74.0
298,POINT (-8.62022206518781 42.36668975200233),-8.62022206518781,42.36668975200233,Pontevedra,71954,74.25
299,POINT (-8.618463348262443 42.36535131056618),-8.618463348262443,42.36535131056618,Pontevedra,71954,74.5
300,POINT (-8.61739581725514 42.36510629166297),-8.61739581725514,42.36510629166297,Pontevedra,71954,74.75
301,POINT (-8.616725072969233 42.36359245474568),-8.616725072969233,42.36359245474568,Pontevedra,71954,75.0
302,POINT (-8.616158074650237 42.36128693060258),-8.616158074650237,42.36128693060258,Pontevedra,71954,75.25
